Salaire mensuel brut selon Année, Grande région, Branche économique, Position professionnelle, Sexe et Valeur centrale et intervalle interquartile;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;Médiane (Q2);
2012;2012;-1;Suisse;-1;Branche économique - total;-1;Position professionnelle - total;-1;Sexe - total;6439;
;;;;;;;;2;Homme;6840;
;;;;;;;;1;Femme;5808;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;10056;
;;;;;;;;2;Homme;10786;
;;;;;;;;1;Femme;8356;
;;;;;;3;Cadre inférieur;-1;Sexe - total;8182;
;;;;;;;;2;Homme;8648;
;;;;;;;;1;Femme;7337;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;6801;
;;;;;;;;2;Homme;7055;
;;;;;;;;1;Femme;6282;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5833;
;;;;;;;;2;Homme;6088;
;;;;;;;;1;Femme;5388;
;;;;4.99;5-43 Secteur 2: production;-1;Position professionnelle - total;-1;Sexe - total;6247;
;;;;;;;;2;Homme;6423;
;;;;;;;;1;Femme;5351;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;9646;
;;;;;;;;2;Homme;9799;
;;;;;;;;1;Femme;8187;
;;;;;;3;Cadre inférieur;-1;Sexe - total;7918;
;;;;;;;;2;Homme;8039;
;;;;;;;;1;Femme;7042;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;6626;
;;;;;;;;2;Homme;6744;
;;;;;;;;1;Femme;5846;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5823;
;;;;;;;;2;Homme;5973;
;;;;;;;;1;Femme;5090;
;;;;5;> 5-9 Industries extractives;-1;Position professionnelle - total;-1;Sexe - total;6014;
;;;;;;;;2;Homme;6043;
;;;;;;;;1;Femme;5569;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;9687;
;;;;;;;;2;Homme;9759;
;;;;;;;;1;Femme;X;
;;;;;;3;Cadre inférieur;-1;Sexe - total;6716;
;;;;;;;;2;Homme;6716;
;;;;;;;;1;Femme;X;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;6697;
;;;;;;;;2;Homme;6741;
;;;;;;;;1;Femme;X;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5786;
;;;;;;;;2;Homme;5810;
;;;;;;;;1;Femme;5256;
;;;;10;> 10-11 Industries alimentaires / fabrication de boissons;-1;Position professionnelle - total;-1;Sexe - total;5573;
;;;;;;;;2;Homme;5939;
;;;;;;;;1;Femme;4737;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;8959;
;;;;;;;;2;Homme;9187;
;;;;;;;;1;Femme;7842;( )
;;;;;;3;Cadre inférieur;-1;Sexe - total;6391;
;;;;;;;;2;Homme;6597;
;;;;;;;;1;Femme;5716;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;5866;
;;;;;;;;2;Homme;5991;
;;;;;;;;1;Femme;5475;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5279;
;;;;;;;;2;Homme;5633;
;;;;;;;;1;Femme;4520;
;;;;12;> 12 Fabrication de produits à base de tabac;-1;Position professionnelle - total;-1;Sexe - total;8939;
;;;;;;;;2;Homme;9333;
;;;;;;;;1;Femme;7658;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;17631;( )
;;;;;;;;2;Homme;18137;( )
;;;;;;;;1;Femme;X;
;;;;;;3;Cadre inférieur;-1;Sexe - total;11904;
;;;;;;;;2;Homme;12259;
;;;;;;;;1;Femme;11219;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;9013;
;;;;;;;;2;Homme;X;
;;;;;;;;1;Femme;8941;
